"","term","gene","Genes_in_Pathway"
"1","Alanine and Aspartate Metabolism","GPT",32
"2","Alanine and Aspartate Metabolism","GPT2",32
"3","Alanine and Aspartate Metabolism","ACY3",32
"4","Alanine and Aspartate Metabolism","AGXT",32
"5","Alanine and Aspartate Metabolism","AGXT2",32
"6","Alanine and Aspartate Metabolism","AGXT2L1",32
"7","Alanine and Aspartate Metabolism","ASNS",32
"8","Alanine and Aspartate Metabolism","ASPA",32
"9","Alanine and Aspartate Metabolism","ASRGL1",32
"10","Alanine and Aspartate Metabolism","DDO",32
"11","Alanine and Aspartate Metabolism","GOT1",32
"12","Alanine and Aspartate Metabolism","GOT2",32
"13","Alanine and Aspartate Metabolism","SLC1A1",32
"14","Alanine and Aspartate Metabolism","SLC1A2",32
"15","Alanine and Aspartate Metabolism","SLC1A3",32
"16","Alanine and Aspartate Metabolism","SLC1A4",32
"17","Alanine and Aspartate Metabolism","SLC1A5",32
"18","Alanine and Aspartate Metabolism","SLC1A6",32
"19","Alanine and Aspartate Metabolism","SLC1A7",32
"20","Alanine and Aspartate Metabolism","SLC36A1",32
"21","Alanine and Aspartate Metabolism","SLC38A1",32
"22","Alanine and Aspartate Metabolism","SLC38A2",32
"23","Alanine and Aspartate Metabolism","SLC38A3",32
"24","Alanine and Aspartate Metabolism","SLC38A4",32
"25","Alanine and Aspartate Metabolism","SLC38A5",32
"26","Alanine and Aspartate Metabolism","SLC6A14",32
"27","Alanine and Aspartate Metabolism","SLC7A10",32
"28","Alanine and Aspartate Metabolism","SLC7A2",32
"29","Alanine and Aspartate Metabolism","SLC7A3",32
"30","Alanine and Aspartate Metabolism","SLC7A8",32
"31","Alanine and Aspartate Metabolism","SLC25A12",32
"32","Alanine and Aspartate Metabolism","SLC25A13",32
"33","Amino and Nucleotide Sugar Metabolism","AMDHD2",20
"34","Amino and Nucleotide Sugar Metabolism","CHIA",20
"35","Amino and Nucleotide Sugar Metabolism","CHIT1",20
"36","Amino and Nucleotide Sugar Metabolism","CMAS",20
"37","Amino and Nucleotide Sugar Metabolism","GALE",20
"38","Amino and Nucleotide Sugar Metabolism","GFPT1",20
"39","Amino and Nucleotide Sugar Metabolism","GFPT2",20
"40","Amino and Nucleotide Sugar Metabolism","GNE",20
"41","Amino and Nucleotide Sugar Metabolism","GNPDA1",20
"42","Amino and Nucleotide Sugar Metabolism","GNPDA2",20
"43","Amino and Nucleotide Sugar Metabolism","GNPNAT1",20
"44","Amino and Nucleotide Sugar Metabolism","MANSC1",20
"45","Amino and Nucleotide Sugar Metabolism","NAGK",20
"46","Amino and Nucleotide Sugar Metabolism","NANS",20
"47","Amino and Nucleotide Sugar Metabolism","PGM3",20
"48","Amino and Nucleotide Sugar Metabolism","RENBP",20
"49","Amino and Nucleotide Sugar Metabolism","TGDS",20
"50","Amino and Nucleotide Sugar Metabolism","UAP1",20
"51","Amino and Nucleotide Sugar Metabolism","UAP1L1",20
"52","Amino and Nucleotide Sugar Metabolism","UXS1",20
"53","Arginine and Proline Metabolism","PROSC",35
"54","Arginine and Proline Metabolism","ABP1",35
"55","Arginine and Proline Metabolism","ALDH18A1",35
"56","Arginine and Proline Metabolism","ALDH4A1",35
"57","Arginine and Proline Metabolism","AOC2",35
"58","Arginine and Proline Metabolism","AOC3",35
"59","Arginine and Proline Metabolism","DAO",35
"60","Arginine and Proline Metabolism","GOT1",35
"61","Arginine and Proline Metabolism","GOT2",35
"62","Arginine and Proline Metabolism","NAGS",35
"63","Arginine and Proline Metabolism","OAT",35
"64","Arginine and Proline Metabolism","PRODH",35
"65","Arginine and Proline Metabolism","PRODH2",35
"66","Arginine and Proline Metabolism","PYCR1",35
"67","Arginine and Proline Metabolism","PYCR2",35
"68","Arginine and Proline Metabolism","PYCRL",35
"69","Arginine and Proline Metabolism","SLC22A1",35
"70","Arginine and Proline Metabolism","SLC22A2",35
"71","Arginine and Proline Metabolism","SLC22A3",35
"72","Arginine and Proline Metabolism","SLC25A15",35
"73","Arginine and Proline Metabolism","SLC25A2",35
"74","Arginine and Proline Metabolism","SLC36A1",35
"75","Arginine and Proline Metabolism","SLC38A1",35
"76","Arginine and Proline Metabolism","SLC38A2",35
"77","Arginine and Proline Metabolism","SLC38A4",35
"78","Arginine and Proline Metabolism","SLC5A1",35
"79","Arginine and Proline Metabolism","SLC6A14",35
"80","Arginine and Proline Metabolism","SLC6A7",35
"81","Arginine and Proline Metabolism","SLC6A8",35
"82","Arginine and Proline Metabolism","SLC7A1",35
"83","Arginine and Proline Metabolism","SLC7A2",35
"84","Arginine and Proline Metabolism","SLC7A3",35
"85","Arginine and Proline Metabolism","SLC7A5",35
"86","Arginine and Proline Metabolism","SLC7A6",35
"87","Arginine and Proline Metabolism","SLC7A7",35
"88","Ascorbate uptake","SLC2A10",3
"89","Ascorbate uptake","SLC23A1",3
"90","Ascorbate uptake","SLC23A2",3
"91","beta-Alanine metabolism","UPB1",7
"92","beta-Alanine metabolism","ABP1",7
"93","beta-Alanine metabolism","AOC2",7
"94","beta-Alanine metabolism","AOC3",7
"95","beta-Alanine metabolism","CNDP1",7
"96","beta-Alanine metabolism","HIBCH",7
"97","beta-Alanine metabolism","SLC6A6",7
"98","Bile Acid Biosynthesis","ABCB11",22
"99","Bile Acid Biosynthesis","ABCC3",22
"100","Bile Acid Biosynthesis","ACOX2",22
"101","Bile Acid Biosynthesis","AKR1D1",22
"102","Bile Acid Biosynthesis","AMACR",22
"103","Bile Acid Biosynthesis","BAAT",22
"104","Bile Acid Biosynthesis","CH25H",22
"105","Bile Acid Biosynthesis","CYP27A1",22
"106","Bile Acid Biosynthesis","CYP39A1",22
"107","Bile Acid Biosynthesis","CYP46A1",22
"108","Bile Acid Biosynthesis","CYP7A1",22
"109","Bile Acid Biosynthesis","HSD17B4",22
"110","Bile Acid Biosynthesis","HSD3B7",22
"111","Bile Acid Biosynthesis","SCP2",22
"112","Bile Acid Biosynthesis","SLC10A1",22
"113","Bile Acid Biosynthesis","SLC10A2",22
"114","Bile Acid Biosynthesis","SLC27A2",22
"115","Bile Acid Biosynthesis","SLCO1A2",22
"116","Bile Acid Biosynthesis","SLCO1B1",22
"117","Bile Acid Biosynthesis","SLCO1B3",22
"118","Bile Acid Biosynthesis","SLCO2B1",22
"119","Bile Acid Biosynthesis","SLCO4A1",22
"120","Biotin Metabolism","BTD",5
"121","Biotin Metabolism","HLCS",5
"122","Biotin Metabolism","SLC16A1",5
"123","Biotin Metabolism","SLC19A3",5
"124","Biotin Metabolism","SLC5A6",5
"125","Blood Group Biosynthesis","ABO",11
"126","Blood Group Biosynthesis","B3GNT2",11
"127","Blood Group Biosynthesis","B3GNT3",11
"128","Blood Group Biosynthesis","B3GNT5",11
"129","Blood Group Biosynthesis","FUT1",11
"130","Blood Group Biosynthesis","FUT3",11
"131","Blood Group Biosynthesis","FUT9",11
"132","Blood Group Biosynthesis","GCNT2",11
"133","Blood Group Biosynthesis","ST3GAL3",11
"134","Blood Group Biosynthesis","ST3GAL6",11
"135","Blood Group Biosynthesis","ST8SIA5",11
"136","Carbonic Acid Metabolism","CA1",13
"137","Carbonic Acid Metabolism","CA12",13
"138","Carbonic Acid Metabolism","CA13",13
"139","Carbonic Acid Metabolism","CA14",13
"140","Carbonic Acid Metabolism","CA2",13
"141","Carbonic Acid Metabolism","CA3",13
"142","Carbonic Acid Metabolism","CA4",13
"143","Carbonic Acid Metabolism","CA5A",13
"144","Carbonic Acid Metabolism","CA5B",13
"145","Carbonic Acid Metabolism","CA6",13
"146","Carbonic Acid Metabolism","CA7",13
"147","Carbonic Acid Metabolism","CA8",13
"148","Carbonic Acid Metabolism","CA9",13
"149","Carnitine shuttle","CPT1A",8
"150","Carnitine shuttle","CPT1B",8
"151","Carnitine shuttle","CPT1C",8
"152","Carnitine shuttle","CPT2",8
"153","Carnitine shuttle","CRAT",8
"154","Carnitine shuttle","SLC22A4",8
"155","Carnitine shuttle","SLC22A5",8
"156","Carnitine shuttle","SLC25A20",8
"157","Cholesterol Metabolism","ABCA1",7
"158","Cholesterol Metabolism","CYP51A1",7
"159","Cholesterol Metabolism","DHCR7",7
"160","Cholesterol Metabolism","HMGCR",7
"161","Cholesterol Metabolism","IDI1",7
"162","Cholesterol Metabolism","IDI2",7
"163","Cholesterol Metabolism","LCAT",7
"164","Chondroitin and Heparan sulfate biosynthesis","B3GALT6",40
"165","Chondroitin and Heparan sulfate biosynthesis","B3GAT1",40
"166","Chondroitin and Heparan sulfate biosynthesis","B3GAT2",40
"167","Chondroitin and Heparan sulfate biosynthesis","B3GAT3",40
"168","Chondroitin and Heparan sulfate biosynthesis","B4GALT7",40
"169","Chondroitin and Heparan sulfate biosynthesis","CHPF",40
"170","Chondroitin and Heparan sulfate biosynthesis","CHPF2",40
"171","Chondroitin and Heparan sulfate biosynthesis","CHST11",40
"172","Chondroitin and Heparan sulfate biosynthesis","CHST12",40
"173","Chondroitin and Heparan sulfate biosynthesis","CHST13",40
"174","Chondroitin and Heparan sulfate biosynthesis","CHST3",40
"175","Chondroitin and Heparan sulfate biosynthesis","CHST7",40
"176","Chondroitin and Heparan sulfate biosynthesis","CHSY1",40
"177","Chondroitin and Heparan sulfate biosynthesis","CHSY3",40
"178","Chondroitin and Heparan sulfate biosynthesis","CSGALNACT1",40
"179","Chondroitin and Heparan sulfate biosynthesis","CSGALNACT2",40
"180","Chondroitin and Heparan sulfate biosynthesis","EXT1",40
"181","Chondroitin and Heparan sulfate biosynthesis","EXT2",40
"182","Chondroitin and Heparan sulfate biosynthesis","EXTL1",40
"183","Chondroitin and Heparan sulfate biosynthesis","EXTL2",40
"184","Chondroitin and Heparan sulfate biosynthesis","EXTL3",40
"185","Chondroitin and Heparan sulfate biosynthesis","GLCE",40
"186","Chondroitin and Heparan sulfate biosynthesis","HS2ST1",40
"187","Chondroitin and Heparan sulfate biosynthesis","HS3ST1",40
"188","Chondroitin and Heparan sulfate biosynthesis","HS3ST2",40
"189","Chondroitin and Heparan sulfate biosynthesis","HS3ST3A1",40
"190","Chondroitin and Heparan sulfate biosynthesis","HS3ST3B1",40
"191","Chondroitin and Heparan sulfate biosynthesis","HS3ST4",40
"192","Chondroitin and Heparan sulfate biosynthesis","HS3ST5",40
"193","Chondroitin and Heparan sulfate biosynthesis","HS3ST6",40
"194","Chondroitin and Heparan sulfate biosynthesis","HS6ST1",40
"195","Chondroitin and Heparan sulfate biosynthesis","HS6ST2",40
"196","Chondroitin and Heparan sulfate biosynthesis","HS6ST3",40
"197","Chondroitin and Heparan sulfate biosynthesis","NDST1",40
"198","Chondroitin and Heparan sulfate biosynthesis","NDST2",40
"199","Chondroitin and Heparan sulfate biosynthesis","NDST3",40
"200","Chondroitin and Heparan sulfate biosynthesis","NDST4",40
"201","Chondroitin and Heparan sulfate biosynthesis","UST",40
"202","Chondroitin and Heparan sulfate biosynthesis","XYLT1",40
"203","Chondroitin and Heparan sulfate biosynthesis","XYLT2",40
"204","Chondroitin sulfate degradation","ARSB",9
"205","Chondroitin sulfate degradation","GALNS",9
"206","Chondroitin sulfate degradation","GLB1",9
"207","Chondroitin sulfate degradation","GUSB",9
"208","Chondroitin sulfate degradation","HEXA",9
"209","Chondroitin sulfate degradation","HEXB",9
"210","Chondroitin sulfate degradation","IDS",9
"211","Chondroitin sulfate degradation","IDUA",9
"212","Chondroitin sulfate degradation","NEU1",9
"213","Citric Acid Cycle","ALDH1B1",58
"214","Citric Acid Cycle","GOT1",58
"215","Citric Acid Cycle","GOT2",58
"216","Citric Acid Cycle","ACLY",58
"217","Citric Acid Cycle","ACO1",58
"218","Citric Acid Cycle","ACO2",58
"219","Citric Acid Cycle","ALDH4A1",58
"220","Citric Acid Cycle","ALDH5A1",58
"221","Citric Acid Cycle","CLYBL",58
"222","Citric Acid Cycle","CS",58
"223","Citric Acid Cycle","DLD",58
"224","Citric Acid Cycle","DLST",58
"225","Citric Acid Cycle","FAHD1",58
"226","Citric Acid Cycle","FAH",58
"227","Citric Acid Cycle","FH",58
"228","Citric Acid Cycle","HICDH",58
"229","Citric Acid Cycle","IDH1",58
"230","Citric Acid Cycle","IDH2",58
"231","Citric Acid Cycle","IDH3A",58
"232","Citric Acid Cycle","IDH3B",58
"233","Citric Acid Cycle","IDH3G",58
"234","Citric Acid Cycle","IREB2",58
"235","Citric Acid Cycle","MDH1",58
"236","Citric Acid Cycle","MDH1B",58
"237","Citric Acid Cycle","MDH2",58
"238","Citric Acid Cycle","OGDH",58
"239","Citric Acid Cycle","PCK1",58
"240","Citric Acid Cycle","PCK2",58
"241","Citric Acid Cycle","PDHX",58
"242","Citric Acid Cycle","SDHA",58
"243","Citric Acid Cycle","SDHB",58
"244","Citric Acid Cycle","SDHC",58
"245","Citric Acid Cycle","SDHD",58
"246","Citric Acid Cycle","SLC13A2",58
"247","Citric Acid Cycle","SLC13A3",58
"248","Citric Acid Cycle","SLC13A5",58
"249","Citric Acid Cycle","SLC16A1",58
"250","Citric Acid Cycle","SLC16A7",58
"251","Citric Acid Cycle","SLC16A8",58
"252","Citric Acid Cycle","SLC25A1",58
"253","Citric Acid Cycle","SLC25A10",58
"254","Citric Acid Cycle","SLC25A11",58
"255","Citric Acid Cycle","SLC33A1",58
"256","Citric Acid Cycle","SUCLA2",58
"257","Citric Acid Cycle","SUCLG1",58
"258","Citric Acid Cycle","SUCLG2",58
"259","Citric Acid Cycle","SLC5A6",58
"260","Citric Acid Cycle","ADSL",58
"261","Citric Acid Cycle","ACSS1",58
"262","Citric Acid Cycle","ACSS2",58
"263","Citric Acid Cycle","DLAT",58
"264","Citric Acid Cycle","ME1",58
"265","Citric Acid Cycle","ME2",58
"266","Citric Acid Cycle","ME3",58
"267","Citric Acid Cycle","PC",58
"268","Citric Acid Cycle","PDHA1",58
"269","Citric Acid Cycle","PDHA2",58
"270","Citric Acid Cycle","PDHB",58
"271","CoA Biosynthesis","COASY",12
"272","CoA Biosynthesis","PANK1",12
"273","CoA Biosynthesis","PANK2",12
"274","CoA Biosynthesis","PANK3",12
"275","CoA Biosynthesis","PANK4",12
"276","CoA Biosynthesis","PPCDC",12
"277","CoA Biosynthesis","PPCS",12
"278","CoA Biosynthesis","SLC25A16",12
"279","CoA Biosynthesis","SLC5A6",12
"280","CoA Biosynthesis","VNN1",12
"281","CoA Biosynthesis","VNN2",12
"282","CoA Biosynthesis","VNN3",12
"283","Creatine Metabolism","CKB",6
"284","Creatine Metabolism","CKM",6
"285","Creatine Metabolism","CKMT1B",6
"286","Creatine Metabolism","CKMT2",6
"287","Creatine Metabolism","GAMT",6
"288","Creatine Metabolism","GATM",6
"289","Cyclic Nucleotides Metabolism","ADCY1",43
"290","Cyclic Nucleotides Metabolism","ADCY10",43
"291","Cyclic Nucleotides Metabolism","ADCY2",43
"292","Cyclic Nucleotides Metabolism","ADCY3",43
"293","Cyclic Nucleotides Metabolism","ADCY4",43
"294","Cyclic Nucleotides Metabolism","ADCY5",43
"295","Cyclic Nucleotides Metabolism","ADCY6",43
"296","Cyclic Nucleotides Metabolism","ADCY7",43
"297","Cyclic Nucleotides Metabolism","ADCY8",43
"298","Cyclic Nucleotides Metabolism","ADCY9",43
"299","Cyclic Nucleotides Metabolism","GUCY1A2",43
"300","Cyclic Nucleotides Metabolism","GUCY1A3",43
"301","Cyclic Nucleotides Metabolism","GUCY1B2",43
"302","Cyclic Nucleotides Metabolism","GUCY1B3",43
"303","Cyclic Nucleotides Metabolism","GUCY2C",43
"304","Cyclic Nucleotides Metabolism","GUCY2D",43
"305","Cyclic Nucleotides Metabolism","GUCY2F",43
"306","Cyclic Nucleotides Metabolism","NPR1",43
"307","Cyclic Nucleotides Metabolism","NPR2",43
"308","Cyclic Nucleotides Metabolism","PDE10A",43
"309","Cyclic Nucleotides Metabolism","PDE11A",43
"310","Cyclic Nucleotides Metabolism","PDE1A",43
"311","Cyclic Nucleotides Metabolism","PDE1B",43
"312","Cyclic Nucleotides Metabolism","PDE1C",43
"313","Cyclic Nucleotides Metabolism","PDE2A",43
"314","Cyclic Nucleotides Metabolism","PDE3A",43
"315","Cyclic Nucleotides Metabolism","PDE3B",43
"316","Cyclic Nucleotides Metabolism","PDE4A",43
"317","Cyclic Nucleotides Metabolism","PDE4B",43
"318","Cyclic Nucleotides Metabolism","PDE4C",43
"319","Cyclic Nucleotides Metabolism","PDE4D",43
"320","Cyclic Nucleotides Metabolism","PDE5A",43
"321","Cyclic Nucleotides Metabolism","PDE6A",43
"322","Cyclic Nucleotides Metabolism","PDE6B",43
"323","Cyclic Nucleotides Metabolism","PDE6C",43
"324","Cyclic Nucleotides Metabolism","PDE6D",43
"325","Cyclic Nucleotides Metabolism","PDE6G",43
"326","Cyclic Nucleotides Metabolism","PDE6H",43
"327","Cyclic Nucleotides Metabolism","PDE7A",43
"328","Cyclic Nucleotides Metabolism","PDE7B",43
"329","Cyclic Nucleotides Metabolism","PDE8A",43
"330","Cyclic Nucleotides Metabolism","PDE8B",43
"331","Cyclic Nucleotides Metabolism","PDE9A",43
"332","CYP Metabolism","CYP2A13",16
"333","CYP Metabolism","CYP2A6",16
"334","CYP Metabolism","CYP2C18",16
"335","CYP Metabolism","CYP2C19",16
"336","CYP Metabolism","CYP2C8",16
"337","CYP Metabolism","CYP2C9",16
"338","CYP Metabolism","CYP2D6",16
"339","CYP Metabolism","CYP2E1",16
"340","CYP Metabolism","CYP2F1",16
"341","CYP Metabolism","CYP3A4",16
"342","CYP Metabolism","CYP3A5",16
"343","CYP Metabolism","CYP4A11",16
"344","CYP Metabolism","CYB5D1",16
"345","CYP Metabolism","CYP1A1",16
"346","CYP Metabolism","CYP1A2",16
"347","CYP Metabolism","CYP1B1",16
"348","Cysteine Metabolism","AHCY",20
"349","Cysteine Metabolism","AHCYL1",20
"350","Cysteine Metabolism","AHCYL2",20
"351","Cysteine Metabolism","CBS",20
"352","Cysteine Metabolism","CTH",20
"353","Cysteine Metabolism","GOT1",20
"354","Cysteine Metabolism","GOT2",20
"355","Cysteine Metabolism","LDHAL6A",20
"356","Cysteine Metabolism","LDHAL6B",20
"357","Cysteine Metabolism","MPST",20
"358","Cysteine Metabolism","SLC1A4",20
"359","Cysteine Metabolism","SLC1A5",20
"360","Cysteine Metabolism","SLC3A1",20
"361","Cysteine Metabolism","SLC6A14",20
"362","Cysteine Metabolism","SLC7A10",20
"363","Cysteine Metabolism","SLC7A11",20
"364","Cysteine Metabolism","SLC7A8",20
"365","Cysteine Metabolism","SLC7A9",20
"366","Cysteine Metabolism","SUOX",20
"367","Cysteine Metabolism","TST",20
"368","DNA Demethylation","ADH5",6
"369","DNA Demethylation","ADH6",6
"370","DNA Demethylation","TET1",6
"371","DNA Demethylation","TET2",6
"372","DNA Demethylation","TET3",6
"373","DNA Demethylation","TDG",6
"374","DNA Methylation","DNMT1",5
"375","DNA Methylation","DNMT3A",5
"376","DNA Methylation","DNMT3B",5
"377","DNA Methylation","DNMT3L",5
"378","DNA Methylation","TRDMT1",5
"379","DNA Synthesis","DTYMK",6
"380","DNA Synthesis","NT5M",6
"381","DNA Synthesis","RRM1",6
"382","DNA Synthesis","RRM2",6
"383","DNA Synthesis","TYMS",6
"384","DNA Synthesis","SLC25A19",6
"385","Eicosanoid Metabolism","AKR1B1",37
"386","Eicosanoid Metabolism","AKR1A1",37
"387","Eicosanoid Metabolism","AKR1C4",37
"388","Eicosanoid Metabolism","CYP4F8",37
"389","Eicosanoid Metabolism","ABCC4",37
"390","Eicosanoid Metabolism","ALOX12",37
"391","Eicosanoid Metabolism","ALOX12B",37
"392","Eicosanoid Metabolism","ALOX15",37
"393","Eicosanoid Metabolism","ALOX15B",37
"394","Eicosanoid Metabolism","ALOX5",37
"395","Eicosanoid Metabolism","CBR1",37
"396","Eicosanoid Metabolism","CYP4F12",37
"397","Eicosanoid Metabolism","CYP4F2",37
"398","Eicosanoid Metabolism","CYP4F3",37
"399","Eicosanoid Metabolism","FADS1",37
"400","Eicosanoid Metabolism","HPGDS",37
"401","Eicosanoid Metabolism","LTA4H",37
"402","Eicosanoid Metabolism","LTC4S",37
"403","Eicosanoid Metabolism","MGST2",37
"404","Eicosanoid Metabolism","MGST3",37
"405","Eicosanoid Metabolism","PTGDS",37
"406","Eicosanoid Metabolism","PTGES",37
"407","Eicosanoid Metabolism","PTGES2",37
"408","Eicosanoid Metabolism","PTGIS",37
"409","Eicosanoid Metabolism","PTGS1",37
"410","Eicosanoid Metabolism","PTGS2",37
"411","Eicosanoid Metabolism","SLC22A1",37
"412","Eicosanoid Metabolism","SLC22A2",37
"413","Eicosanoid Metabolism","SLC22A3",37
"414","Eicosanoid Metabolism","SLCO1A2",37
"415","Eicosanoid Metabolism","SLCO1B1",37
"416","Eicosanoid Metabolism","SLCO1B3",37
"417","Eicosanoid Metabolism","SLCO2A1",37
"418","Eicosanoid Metabolism","SLCO2B1",37
"419","Eicosanoid Metabolism","SLCO3A1",37
"420","Eicosanoid Metabolism","SLCO4A1",37
"421","Eicosanoid Metabolism","TBXAS1",37
"422","Ethanol Metabolism","ADH1A",12
"423","Ethanol Metabolism","ADH1B",12
"424","Ethanol Metabolism","ADH1C",12
"425","Ethanol Metabolism","ADH4",12
"426","Ethanol Metabolism","ADH7",12
"427","Ethanol Metabolism","ALDH1A1",12
"428","Ethanol Metabolism","ALDH1B1",12
"429","Ethanol Metabolism","ALDH3A1",12
"430","Ethanol Metabolism","ALDH3B1",12
"431","Ethanol Metabolism","ALDH3B2",12
"432","Ethanol Metabolism","AOX1",12
"433","Ethanol Metabolism","ZADH2",12
"434","Fatty Acid Biosynthesis","ELOVL1",26
"435","Fatty Acid Biosynthesis","ELOVL2",26
"436","Fatty Acid Biosynthesis","ELOVL3",26
"437","Fatty Acid Biosynthesis","ELOVL4",26
"438","Fatty Acid Biosynthesis","ELOVL5",26
"439","Fatty Acid Biosynthesis","ELOVL6",26
"440","Fatty Acid Biosynthesis","ELOVL7",26
"441","Fatty Acid Biosynthesis","FADS1",26
"442","Fatty Acid Biosynthesis","FADS2",26
"443","Fatty Acid Biosynthesis","FADS3",26
"444","Fatty Acid Biosynthesis","FADS6",26
"445","Fatty Acid Biosynthesis","FASN",26
"446","Fatty Acid Biosynthesis","HSD17B12",26
"447","Fatty Acid Biosynthesis","PTPLA",26
"448","Fatty Acid Biosynthesis","PTPLAD1",26
"449","Fatty Acid Biosynthesis","PTPLAD2",26
"450","Fatty Acid Biosynthesis","PTPLB",26
"451","Fatty Acid Biosynthesis","SCD",26
"452","Fatty Acid Biosynthesis","SCD5",26
"453","Fatty Acid Biosynthesis","SLC25A1",26
"454","Fatty Acid Biosynthesis","TECR",26
"455","Fatty Acid Biosynthesis","TECRL",26
"456","Fatty Acid Biosynthesis","ACACA",26
"457","Fatty Acid Biosynthesis","ACACB",26
"458","Fatty Acid Biosynthesis","MCAT",26
"459","Fatty Acid Biosynthesis","AACS",26
"460","Fatty Acid Metabolism","ALDH3A2",21
"461","Fatty Acid Metabolism","CYP4F12",21
"462","Fatty Acid Metabolism","AADAC",21
"463","Fatty Acid Metabolism","CROT",21
"464","Fatty Acid Metabolism","LIPC",21
"465","Fatty Acid Metabolism","MLYCD",21
"466","Fatty Acid Metabolism","SLC22A4",21
"467","Fatty Acid Metabolism","SLC22A5",21
"468","Fatty Acid Metabolism","SLC25A20",21
"469","Fatty Acid Metabolism","SLC27A1",21
"470","Fatty Acid Metabolism","SLC27A2",21
"471","Fatty Acid Metabolism","SLC27A3",21
"472","Fatty Acid Metabolism","SLC27A4",21
"473","Fatty Acid Metabolism","SLC27A5",21
"474","Fatty Acid Metabolism","ACSL1",21
"475","Fatty Acid Metabolism","ACSL3",21
"476","Fatty Acid Metabolism","ACSL4",21
"477","Fatty Acid Metabolism","ACSL5",21
"478","Fatty Acid Metabolism","ECH1",21
"479","Fatty Acid Metabolism","PCCA",21
"480","Fatty Acid Metabolism","PCCB",21
"481","Fatty Acids Oxidation, mitochondrial","ADH1A",23
"482","Fatty Acids Oxidation, mitochondrial","ADH1B",23
"483","Fatty Acids Oxidation, mitochondrial","ADH1C",23
"484","Fatty Acids Oxidation, mitochondrial","ADH5",23
